report_file,week_start,week_end,calendar_week,area_city_state,area_name,theater_code,theater_name,theater_city_state,movie_title,screen_count,non_friday_opening
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",Project Hail Mary,4,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA","Super Mario Galaxy Movie, T",2,true
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA","Drama, The",2,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA","You, Me & Tuscany",1,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",Hoppers,6,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",Faces of Death,1,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",BTS WORLD TOUR 'ARIRANG' IN,1,true
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",Hamlet,1,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA","Christophers, The",1,true
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",Hunting Matthew Nichols,1,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",Beast,1,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",Newborn,1,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",ChaO,1,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",AI Doc: Or How I Became an,3,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",-76%,852,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",They Will Kill You,3,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",-81%,653,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",Royal Ballet: Giselle (2026,1,true
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",Jerry Maguire,1,true
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA",Project Hail Mary,4,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA","Drama, The",2,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA","Super Mario Galaxy Movie, T",2,true
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA",Hoppers,6,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA",207%,860,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA",Ready or Not 2: Here I Come,4,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA",79%,787,false
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA",Dhurandhar The Revenge,4,true
branch_area_20260410_SF.pdf,04/10/2026,04/16/2026,15,"San Francisco, CA",City Center,APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA",-17%,997,false
